algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
redisearch,"Redisearch(M=16, ef=40)",10,0.9308099999999999,0.98264,1.0,0.08955852378938312,2130.584817366391,0.46503543853759766,0.5521774291992188,0.6625723838806153,0.9017059803009048,0.0,2433.259555578232,10.0,340.0,0.1595805983543396,sift-128-euclidean
redisearch,"Redisearch(M=16, ef=200)",10,0.99692,0.9999,1.0,0.08935997537847232,790.3779570105128,1.3318061828613281,2.735900878906249,3.0515289306640625,5.93592977523809,0.0,2433.259555578232,10.0,340.0,0.43017394018173216,sift-128-euclidean
redisearch,"Redisearch(M=16, ef=400)",10,0.9996,0.99999,1.0,0.08935460486022795,482.14043988252536,2.1753311157226562,2.5353550910949707,2.8727364540100107,3.9690508842468457,0.0,2433.259555578232,10.0,340.0,0.705188720703125,sift-128-euclidean
redisearch,"Redisearch(M=16, ef=20)",10,0.84375,0.9307700000000001,0.9999,0.08992962932320794,2785.6495120551967,0.3590583801269531,0.44347047805786116,0.5080771446228028,0.7870259284973157,0.0,2433.259555578232,10.0,340.0,0.12205412006378175,sift-128-euclidean
redisearch,"Redisearch(M=16, ef=10)",10,0.71329,0.81652,0.9994099999999999,0.09068864331732435,3219.021827515147,0.3058910369873047,0.5519390106201172,0.6413483619689941,0.7674865722656286,0.0,2433.259555578232,10.0,340.0,0.10562214803695678,sift-128-euclidean
redisearch,"Redisearch(M=16, ef=120)",10,0.9898,0.99935,1.0,0.08937707200473866,1193.0557695226553,0.8474588394165039,0.994455814361572,1.1492562294006365,1.3535053730010993,0.0,2433.259555578232,10.0,340.0,0.2849824867248535,sift-128-euclidean
redisearch,"Redisearch(M=16, ef=80)",10,0.9773400000000001,0.99767,1.0,0.08941108794132842,1497.0700921031137,0.6694793701171875,0.7944226264953611,1.063826084136963,1.3282539844512988,0.0,2433.259555578232,10.0,340.0,0.22711027479171753,sift-128-euclidean
redisearch,"Redisearch(M=16, ef=600)",10,0.9998799999999999,1.0,1.0,0.08935418098421494,365.10289244815294,2.8200149536132812,3.289246559143066,3.498365879058839,4.12382102012637,0.0,2433.259555578232,10.0,340.0,0.9312443342208861,sift-128-euclidean
redisearch,"Redisearch(M=16, ef=800)",10,0.99996,1.0,1.0,0.08935404460913421,297.68185524256825,3.4972429275512695,4.109156131744385,4.414098262786865,6.423155784607014,0.0,2433.259555578232,10.0,340.0,1.1421589660644533,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=512, n_probe=50)",10,0.99793,0.99985,1.0,0.08935955413369467,155.18018952713456,6.468772888183594,7.466113567352294,7.8585195541381845,9.365020513534581,101847.7447,11.267282009124756,10.0,700224.0,4512.328552592468,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=2048, n_probe=50)",10,0.98079,0.9973599999999999,1.0,0.0894135261469267,514.568861928558,1.9044876098632812,2.50244140625,2.620470523834229,2.7410988807678223,28499.641,105.08828806877136,10.0,701496.0,1363.2694317546845,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=4096, n_probe=200)",10,0.99828,0.9999,1.0,0.08935884766175756,268.24407651252875,3.7866830825805664,4.588127136230469,4.938166141510011,5.1872811317443865,56093.1568,365.5805058479309,10.0,700384.0,2610.9952141563413,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=1024, n_probe=60)",10,0.9953,0.99949,1.0,0.08936962115222165,235.97153833661528,4.199743270874023,5.1975250244140625,5.609281063079834,5.966450214385992,62785.0257,32.317951917648315,10.0,701844.0,2974.273952474785,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=4096, n_probe=5)",10,0.62248,0.72312,0.99886,0.09152894173632369,2569.8364001664577,0.38933753967285156,0.4668235778808594,0.5342960357666016,0.5917570590972905,5495.8472,365.5805058479309,10.0,700384.0,272.54030643920896,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=512, n_probe=60)",10,0.9989800000000001,0.9999100000000001,1.0,0.08935661334711334,129.4973886431735,8.261322975158691,9.369373321533203,9.81499433517456,12.632318496704139,121510.4178,11.267282009124756,10.0,700224.0,5407.244171768189,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=32, n_probe=1)",10,0.69506,0.77849,0.99359,0.09140356392385647,367.7455437187599,3.313302993774414,5.959510803222656,6.1109137535095215,6.272317886352539,37343.2828,1.5281593799591064,10.0,717156.0,1950.1419180988312,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=128, n_probe=80)",10,1.0,1.0,1.0,0.08935400220785608,30.507769476571735,32.730817794799805,33.930110931396484,34.339210987091064,37.017161369323745,595476.8376,2.8346168994903564,10.0,706024.0,23142.432636453053,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=256, n_probe=60)",10,0.9999399999999999,1.0,1.0,0.08935435634861941,47.06566764276374,21.36814594268799,23.423314094543457,23.885505199432373,33.81420111656194,238645.5249,4.7135539054870605,10.0,705836.0,14996.833899338533,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=4096, n_probe=10)",10,0.7648900000000001,0.8652200000000001,0.9998400000000001,0.09046147870104951,1998.9024466670337,0.4909038543701172,0.6325244903564453,0.7300376892089844,0.8132469654083254,6885.2506,365.5805058479309,10.0,700384.0,350.3842827186584,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=2048, n_probe=200)",10,0.9996700000000001,1.0,1.0,0.08935491875122341,138.93891501421783,7.318019866943359,8.272683620452879,8.587124347686768,9.685650825500565,103430.4218,105.08828806877136,10.0,701496.0,5048.952627334213,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=128, n_probe=10)",10,0.9819100000000001,0.9967499999999999,1.0,0.08941864871773171,190.5536049204444,5.332708358764648,6.3076019287109375,6.545794010162354,6.833608150482189,83454.7231,2.8346168994903564,10.0,706024.0,3705.120143461799,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=4096, n_probe=60)",10,0.97109,0.9952500000000001,1.0,0.08944776452107951,705.4088457845172,1.3740062713623047,1.8499135971069331,1.9834113121032717,2.135763406753542,20255.1867,365.5805058479309,10.0,700384.0,992.8766901428223,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=4096, n_probe=100)",10,0.98884,0.99874,1.0,0.08938761955398841,478.7178049514711,2.0519495010375977,2.641928195953369,2.8591227531433105,3.070129871368411,30654.8578,365.5805058479309,10.0,700384.0,1463.0414677619935,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=2048, n_probe=1)",10,0.32981,0.38966,0.9012399999999999,0.09564288132362772,5516.274130799346,0.1811981201171875,0.22673606872558594,0.27418375015258795,0.3137595653533937,2597.3076,105.08828806877136,10.0,701496.0,127.16844438228607,sift-128-euclidean
