dataset_name,dim,skew,seed,nruns,index_name,nlist,nprobe,niter,add_time,train_time,total_build_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,run_date,cmd
SIFT10M,128,default,42,3,BruteForce,,,,3.1197022660053335,0,3.1197022660053335,586.5280474883039,589.6477497543092,857.6738505973481,883.9916979777627,915.074039978208,938.4448759812861,966.1234300001524,1022.6620336004999,1403.6446661304217,105.7625272578699,11.269977594291746,16.297942174404152,1.0,0.99999,0.999994,16,16,10000,2025-02-27 01:41:58,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,1,10,13.905417587986449,4.296444915991742,18.20186250397819,0.982270451146178,19.18413295512437,1.0428934125229716,1.219788973685354,1.493458985351026,1.5716327218338848,1.8412790086586028,2.253223006846383,2.8801118384581055,0.468640969905832,29.818733308058814,10066.314468776152,0.4835,0.44367,0.383172,16,16,10000,2025-02-27 01:42:21,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,2,10,13.905417587986449,4.296444915991742,18.20186250397819,2.0290573663951363,20.230919870373327,2.1874350088182837,2.573047997429967,3.124937997199595,3.2464917862322182,3.765216999454424,4.548869020072743,6.124020627466962,0.9441656574189181,29.08264426920632,4928.396883014796,0.6554,0.61248,0.543993,16,16,10000,2025-02-27 01:42:29,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,4,10,13.905417587986449,4.296444915991742,18.20186250397819,4.013852637843229,22.21571514182142,4.39320100704208,5.014948983443901,5.9548790159169585,6.422164220549166,7.388219004496932,8.841468003811315,13.514289604499934,2.0825234451798886,32.427128514035566,2479.1441219523595,0.8068,0.76792,0.702521,16,16,10000,2025-02-27 01:42:43,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,8,10,13.905417587986449,4.296444915991742,18.20186250397819,7.996072420035489,26.19793492401368,8.697344601387158,10.071218013763428,11.908007989404723,12.793715872056783,14.216306997695938,17.117423587478697,32.12850759387946,4.411549939885547,34.48216283684221,1270.8904995890164,0.9116,0.88169,0.832453,16,16,10000,2025-02-27 01:43:08,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,16,10,13.905417587986449,4.296444915991742,18.20186250397819,14.327324249083176,32.52918675306137,17.30514339869842,18.922729999758303,21.691909001674503,22.92371879853308,25.279246998252347,30.410246393876154,42.99770004232414,5.797584596180333,25.290768252450068,697.9670332120746,0.9671,0.95233,0.922501,16,16,10000,2025-02-27 01:43:53,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,20,10,13.905417587986449,4.296444915991742,18.20186250397819,16.792929440998705,34.994791944976896,21.312696003587916,23.07511802064255,25.87232500081882,26.868687105597928,29.468313994584605,33.874942612601444,44.317972005810574,5.676604032330435,21.127210309981052,596.6063934009775,0.9777,0.96621,0.942378,16,16,10000,2025-02-27 01:44:45,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,32,10,13.905417587986449,4.296444915991742,18.20186250397819,24.584555118868593,42.786417622846784,32.148888387018815,34.707351005636156,38.62563899019733,39.33528819018975,42.46796702500433,46.80134199443273,59.77745899115688,6.322565207198583,16.073519473477344,392.9655138985407,0.9905,0.98551,0.972238,16,16,10000,2025-02-27 01:46:02,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,48,10,13.905417587986449,4.296444915991742,18.20186250397819,34.97438355549821,53.1762460594764,47.5553110067267,50.696944002993405,54.87069100490771,55.95901368879713,59.57797801238485,64.90395601140335,85.18435049569233,7.940660786992542,14.190137144218903,288.9469303399398,0.9962,0.99422,0.986925,16,16,10000,2025-02-27 01:47:48,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,64,10,13.905417587986449,4.296444915991742,18.20186250397819,45.71663931023795,63.91850181421614,63.30617500352673,66.96873699547723,71.61138401716016,73.14662289638072,77.45710300514475,84.914080996532,102.4890110210981,8.821842058326954,12.060491255794473,218.7802117422402,0.9983,0.9972,0.992994,16,16,10000,2025-02-27 01:50:06,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 1000 5000 10000 16000 --batch_size None
