batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,100,100,10,42,99999,588.6441910115536,10.458392003783956,3.115101018920541,7.343290984863415,0.0,0.00015998375602066517,0.0,0.0,0.0,0.0,2.9894220060668886,1,0.875,0.925,0.86625
2,CrackIVF,16,16,16,100,100,10,42,99999,598.2582040014677,9.614012989914045,2.281533001223579,7.332479988690466,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,2.276762999827042,1,0.875,0.93125,0.866875
3,CrackIVF,16,32,16,100,100,10,42,99999,608.2167360000312,9.958531998563558,1.802325015887618,8.15620698267594,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,1.7985949816647917,1,1.0,0.98125,0.929375
4,CrackIVF,16,48,16,100,100,10,42,99999,619.7847040020861,11.56796800205484,1.857324008597061,9.71064399345778,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.8511250091250986,1,0.875,0.9,0.88125
5,CrackIVF,16,64,16,100,100,10,42,99999,629.4657779799309,9.68107397784479,1.8470649956725538,7.834008982172236,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.84290501056239,1,1.0,0.9125,0.89375
6,CrackIVF,16,80,16,100,100,10,42,99999,644.3843469605781,14.918568980647251,1.680024986853823,13.238543993793428,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.6766949847806245,1,0.875,0.89375,0.8775
7,CrackIVF,16,96,16,100,100,10,42,99999,657.2151629661676,12.83081600558944,1.7600160208530724,11.070799984736368,0.0,0.0001600128598511219,0.0,0.0,0.0,0.0,1.756465993821621,1,0.875,0.91875,0.884375
8,CrackIVF,16,112,16,100,100,10,42,99999,670.1825979689602,12.967435002792627,1.7309749964624643,11.236460006330162,0.0,0.00015998375602066517,0.0,0.0,0.0,0.0,1.726996008073911,1,0.875,0.93125,0.893125
9,CrackIVF,16,128,16,100,100,10,42,99999,682.3842639569193,12.201665987959132,1.6903149953577667,10.511350992601365,0.0,0.00014901161193847656,0.0,0.0,0.0,0.0,1.6865460202097893,1,0.8125,0.93125,0.89875
10,CrackIVF,16,144,16,100,100,10,42,99999,695.3247389756143,12.940475018694997,1.8430250056553632,11.097450013039634,0.0,0.0001600128598511219,0.0,0.0,0.0,0.0,1.8396250088699162,1,1.0,0.94375,0.894375
11,CrackIVF,16,160,16,100,100,10,42,99999,708.083863981301,12.759125005686656,1.750605006236583,11.008519999450073,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.7465860000811517,1,0.75,0.85625,0.83625
12,CrackIVF,16,176,16,100,100,10,42,99999,721.3215079682413,13.237643986940384,3.440370986936614,9.79727300000377,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,3.4257300139870495,1,0.9375,0.89375,0.855
