batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,116,100,10,42,99999,1067.4365650338586,444.06672701006755,436.20456600910984,7.8621610009577125,0.3317789814900607,0.00018998980522155762,193.9178259926848,239.46581600466743,8.717488992260769,15.312844014260918,2.224013995146379,1,0.875,0.925,0.86625
2,CrackIVF,16,16,16,132,100,10,42,99999,1586.0560240398627,518.619459006004,495.19552499987185,23.423934006132185,0.2220190071966499,0.0001700245775282383,260.972795978887,230.3105289756786,12.719849008135498,16.61252000485547,3.533442009938881,1,1.0,0.96875,0.928125
3,CrackIVF,16,32,16,148,100,10,42,99999,1989.3781480495818,403.3221240097191,394.33428601478226,8.987837994936854,0.2540400018915534,0.00018000719137489796,169.69012501067482,222.30555702117272,7.595242001116276,12.697199999820441,1.9261749985162169,1,1.0,0.99375,0.95875
4,CrackIVF,16,48,16,164,100,10,42,99999,2405.695942026796,416.317793977214,407.75242398376577,8.565369993448257,0.17114999354816973,0.00013998942449688911,151.18726799846627,254.3679710070137,7.379721995675936,18.265276012243703,1.8797660013660789,1,0.875,0.95625,0.916875
5,CrackIVF,16,64,16,180,100,10,42,99999,2958.9770580350887,553.2811160082929,527.6032670226414,25.677848985651508,0.1715889957267791,0.0001500011421740055,190.8322630042676,334.4929589948151,7.259673002408817,23.22039401042275,1.9581560045480728,1,1.0,0.95,0.93375
6,CrackIVF,16,80,16,196,100,10,42,99999,3371.6564110363834,412.67935300129466,399.2897249991074,13.389628002187237,0.17952898633666337,0.00013000681065022945,166.18317298707552,230.79766798764467,6.296295003267005,17.892186995595694,1.8455660028848797,1,0.875,0.90625,0.895
7,CrackIVF,16,96,16,212,100,10,42,99999,3735.962550039403,364.3061390030198,355.20752001320943,9.098618989810348,0.1850500120781362,0.00013998942449688911,150.30223000212573,202.72547501372173,5.246228014584631,21.062380023067817,1.8538250005804002,1,0.9375,0.95,0.918125
8,CrackIVF,16,112,16,228,100,10,42,99999,4203.943180036731,467.9806299973279,461.09599599731155,6.884634000016376,0.15655902097932994,0.00020998413674533367,216.37285299948417,242.68508900422603,13.155918975826353,16.286571975797415,1.6990959993563592,1,1.0,0.975,0.925
9,CrackIVF,16,128,16,244,100,10,42,99999,4648.026927054161,444.08374701743014,437.2787240135949,6.805023003835231,0.19367001368664205,0.00023000757209956646,136.6014530067332,298.7169550033286,4.444919002708048,34.594807017128915,1.6270760097540915,1,0.875,0.94375,0.9175
10,CrackIVF,16,144,16,260,100,10,42,99999,5106.760879047215,458.7339519930538,440.9370550129097,17.796896980144083,0.15011901268735528,0.0001600128598511219,200.2771510160528,238.606668979628,5.412986996816471,17.67257699975744,1.725836016703397,1,1.0,0.95625,0.91375
11,CrackIVF,16,160,16,276,100,10,42,99999,5470.709877059562,363.94899801234715,357.7349730185233,6.214024993823841,0.18160900799557567,0.00015998375602066517,148.47371500218287,207.21095299813896,5.062598007498309,19.111044995952398,1.7335960001219064,1,0.75,0.8375,0.830625
12,CrackIVF,16,176,16,292,100,10,42,99999,5821.421968052164,350.7120909926016,345.47826400375925,5.233826988842338,0.1562089892104268,0.00015998375602066517,137.74809101596475,205.75667801313102,4.632739000953734,15.031963994260877,1.6580249939579517,1,1.0,0.925,0.89875
