dataset_name,dim,skew,seed,nruns,index_name,nlist,nprobe,niter,add_time,train_time,total_build_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,run_date,cmd
deep-image-96-angular,96,default,42,3,BruteForce,,,,1.7749383990012575,0,1.7749383990012575,469.81224183697486,471.5871802359761,710.1398499973584,725.6757270079106,746.3820099947043,751.6995869391598,772.5204289890826,796.6750457941089,862.3608938325197,37.67945359635506,5.012568085846869,21.02719185457077,0.9996,0.99982,0.999943,16,16,10000,2025-02-27 05:34:06,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,100,1,10,2.947337883990258,0.5342698949971236,3.4816077789873816,9.174350401357515,12.655958180344896,10.709240386495367,12.703446001978591,14.648576005129144,14.678960642172024,16.601224982878193,18.65591699606739,21.715474838856608,2.9708805355661854,20.239038771116892,1096.0725158647565,0.6968,0.66734,0.630311,16,16,10000,2025-02-27 05:34:38,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,100,2,10,2.947337883990258,0.5342698949971236,3.4816077789873816,16.5883853774576,20.06999315644498,20.02749799285084,22.49398300773464,25.20079299574718,26.541416603932156,28.59556200564839,32.385748613160104,60.61275208834553,9.681491098285305,36.476919234412584,601.1570366342387,0.8526,0.8302,0.797774,16,16,10000,2025-02-27 05:35:29,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,100,4,10,2.947337883990258,0.5342698949971236,3.4816077789873816,30.27432413896895,33.75593191795633,36.836792988469824,40.87199000059627,45.51432901644148,48.43891862235032,51.38589697889984,61.366175598232076,102.1811638830695,14.207795021404305,29.331362931889753,320.35208097633,0.9412,0.93059,0.908801,16,16,10000,2025-02-27 05:37:04,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,100,8,10,2.947337883990258,0.5342698949971236,3.4816077789873816,60.24682600086089,63.728433779848274,73.53285698918626,80.06847999058664,88.57866798643954,96.39492160137743,103.08256599819288,120.80091559328139,215.2498953603208,28.74768674266403,29.82282288847594,158.71993803066658,0.9824,0.97806,0.967488,16,16,10000,2025-02-27 05:40:14,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,100,16,10,2.947337883990258,0.5342698949971236,3.4816077789873816,120.25940031194477,123.74100809093216,158.44438641215675,168.5543619969394,181.8538660008926,192.41504049911163,199.8432879918255,236.18949898518628,359.0162684803363,41.7252075647495,21.685003135158837,83.1535827890433,0.9955,0.99485,0.991281,16,16,10000,2025-02-27 05:46:16,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,100,32,10,2.947337883990258,0.5342698949971236,3.4816077789873816,203.4702541079896,206.95186188697699,290.07227338734083,301.01300301612355,315.53477799752727,325.55240657278335,333.10494100442156,366.33386519388296,526.8080156028735,50.615486324766394,15.54756939370078,46.8284200199717,0.9988,0.99921,0.998676,16,16,10000,2025-02-27 05:56:52,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,100,64,10,2.947337883990258,0.5342698949971236,3.4816077789873816,353.23270328965737,356.71431106864475,531.1437069962267,544.8642329720315,562.6663180009928,565.1723252634517,580.5017279926687,600.2147741965018,673.9078922814224,30.88802318196457,5.465239857165034,28.309949522991406,0.9995,0.99979,0.999898,16,16,10000,2025-02-27 06:14:42,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,1000,1,10,12.755236730008619,3.4138111530046444,16.169047883013263,0.7440779291209765,16.91312581213424,0.8548416080884635,0.9761189867276698,1.143080007750541,1.1905246865935624,1.370490004774183,1.5511429868638518,2.091415215982124,0.2941152964838619,24.70467851661366,13311.396101740931,0.5318,0.49814,0.442087,16,16,10000,2025-02-27 06:15:02,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,1000,2,10,12.755236730008619,3.4138111530046444,16.169047883013263,1.5736331627704203,17.742681045783684,1.8335290136747062,2.1059389982838184,2.4409379984717816,2.5178130604326725,2.8413789987098426,3.2130395993590355,4.351084196241571,0.6063085453660657,24.080760994300142,6354.721186985378,0.7043,0.66801,0.609872,16,16,10000,2025-02-27 06:15:08,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
deep-image-96-angular,96,default,42,3,IVFFlat,1000,4,10,12.755236730008619,3.4138111530046444,16.169047883013263,3.4638005936867557,19.63284847670002,3.7513790011871606,4.296877013985068,5.018436990212649,5.542080949898809,6.156046001706272,7.905325002502654,13.138987398706373,2.000046229762725,36.08836189589117,2887.002218957509,0.838,0.81072,0.761521,16,16,10000,2025-02-27 06:15:20,python run_baselines.py --result_path ./results/ --dbname deep-image-96-angular --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 32 64 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
