dataset_name,skew,seed,nruns,index_name,nlist,cracks_history,nprobe,niter,add_time,train_time,total_build_time,cracking_overhead_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,run_date,cmd
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",1,10,,,,,0.21664672691258602,,0.29573600040748715,0.30687899561598897,0.3337899979669601,0.34663476306013763,0.3510699898470193,0.3727290022652596,0.6461023876909167,0.22237889527913363,64.15366229167071,46158.0940663593,0.3555,0.26442,0.137707,16,16,10000,2025-02-27 09:09:05,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",2,10,,,,,0.21685399732086807,,0.2966139989439398,0.3257300122641027,0.3348600002937019,0.34696639571338894,0.3466400085017085,0.37551000714302063,0.6354923988692462,0.06403417516915523,18.455440054215096,46113.975871071896,0.4695,0.3766,0.225545,16,16,10000,2025-02-27 09:09:05,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",4,10,,,,,0.2183143021829892,,0.3112673992291093,0.320409017149359,0.3457200073171407,0.3493028834927827,0.3611290012486279,0.3800999897066504,0.49211495672352606,0.09009564032006259,25.792984993186906,45805.519381950915,0.5704,0.48218,0.328563,16,16,10000,2025-02-27 09:09:06,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",8,10,,,,,0.2555574821308255,,0.3572035930119455,0.3682289971038699,0.3928600053768605,0.4088919714093208,0.4139399970881641,0.43995159212499857,0.7771245948970318,0.079973792561847,19.55866051519738,39130.13978937537,0.6565,0.57848,0.434224,16,16,10000,2025-02-27 09:09:07,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",16,10,,,,,0.29884092486463487,,0.42960199643857777,0.4472299769986421,0.4753500106744468,0.4781454797834158,0.4955589829478413,0.5171594093553722,0.7210729888174683,0.05030147942997845,10.520120247244284,33462.61896535647,0.7251,0.66062,0.535008,16,16,10000,2025-02-27 09:09:07,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",32,10,,,,,0.4103138154896442,,0.6016540108248591,0.6211290019564331,0.650458998279646,0.6565021047834307,0.6798590184189379,0.7163579983171076,0.8856433758046478,0.05501774626592491,8.380437147886123,24371.589799058052,0.7868,0.73454,0.628448,16,16,10000,2025-02-27 09:09:08,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",64,10,,,,,0.6229236486251466,,0.9136795997619629,0.9487700008321553,0.9891789813991636,0.9966778378002346,1.0371000098530203,1.0864073818083853,1.2208333576563746,0.07494709038206476,7.519690670305293,16053.33177199321,0.8345,0.79722,0.710238,16,16,10000,2025-02-27 09:09:09,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",128,10,,,,,1.0703937003854662,,1.5491270110942423,1.6132489836309105,1.693628990324214,1.712629920616746,1.783369021723047,1.8816230120137334,2.2640030062757432,0.1562775001401383,9.125001161013246,9342.356925679624,0.8765,0.85062,0.782039,16,16,10000,2025-02-27 09:09:11,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",256,10,,,,,2.015608599613188,,2.933216391829774,3.0293679737951607,3.1882379844319075,3.2249737593811005,3.3805980056058615,3.577409981517121,4.011904635699465,0.27473174388085253,8.518883078713046,4961.280678162955,0.9143,0.89578,0.844093,16,16,10000,2025-02-27 09:09:13,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
glove-100-angular,default,42,1,CrackIVF-END,16000,"[100, 483, 719, 1070, 1819, 3160, 5834, 10779, 11975, 14345, 16000]",512,10,,,,,4.051187419885537,,5.900761007796973,6.096756987972185,6.364946981193498,6.481899871816859,6.7057769920211285,7.188561395741999,8.861277244286608,0.6208050858552606,9.577517365772739,2468.4120884939316,0.9464,0.93204,0.895864,16,16,10000,2025-02-27 09:09:18,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-100-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
